Source,Council Member,Legal Name of Organization,EIN,Status,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
LOCAL,Vallone,"Korean American Senior Citizens Society of Greater New York, Inc.",112455396,,5000,DFTA,,149-18 41st Avenue 1st Floor,,Flushing,NY,11355,"The funds will support KASCS, and its programs for recent immigrant senior citizens, including offering basic computer, ESL and U.S. Citizenship skills.",,
LOCAL,Vallone,"Korean American Community Center of New York, Inc.",113515647,,3500,DFTA,,39-18 221 Street,202-16 45th Ave,Bayside,NY,11361,funding will help support personnel costs including fringe benefits for core program services.,,
AGING,Ferreras,"Korean Community Services of Metropolitan New York, Inc.",237348989,,10250,DFTA,,35-56 159th Street,,Flushing,NY,11358,Funding will support congregate lunches serving  seniors daily.,,
LOCAL,Garodnick,"Korean Community Services of Metropolitan New York, Inc.",237348989,,5000,DOHMH,,35-36 159th Street,,Flushing,NY,11358,Funding will provide free breast cancer screenings. ,,
AGING,Koo,"Korean Community Services of Metropolitan New York, Inc.",237348989,,19000,DFTA,,35-36 159th Street,,Flushing,NY,11358,To fund resources and programming for seniors on a daily basis.,,
YOUTH,Koo,"Korean Community Services of Metropolitan New York, Inc.",237348989,,6000,DYCD,,35-36 159th Street,,Flushing,NY,11358,"Funds will support KCS’s Youth Community Action Project (YCAP), which aims to provide Asian American youth with a wide variety of opportunities to learn and develop through interactive and exciting volunteer activities during the summer.",,
AGING,Vallone,"Korean Community Services of Metropolitan New York, Inc.",237348989,,10000,DFTA,,35-36 159th Street,,Flushing,NY,11358,"To support KCS in providing free health screenings, meals and other social programs.",,
LOCAL,Speaker,"Korean Community Services of Metropolitan New York, Inc.",237348989,,40000,DYCD,,35-36 159th Street,,Flushing,NY,11358, To support the Adult Literacy Program that provides ESOL and computer literacy classes to Asian immigrants. ,,
LOCAL,Koo,Korean Family Counseling and Research Center,112827963,,5000,DYCD,,35-71 162nd Street,,Flushing,NY,11358,"Funds to support salaries of full-time counselors for the counseling services and/or other expenses such as space rental cost, transportation, utilities, communications, insurance, office supplies, equipment, maintenance of equipment and website, other hardware.",,
LOCAL,Vallone,Korean Family Counseling and Research Center,112827963,,3500,DYCD,,35-71 162nd Street,,Flushing,NY,11358,"The funds will be used for salaries of counselor and/or for other expenses such as space rental expense, transportation, utilities, communication, equipment, office supplies, maintenance of equipment and website and other various expenses.",,
YOUTH,Barron,"Kwatny Foundation, Inc.",810606748,,13000,DYCD,,707 Jerome St,,Brooklyn,NY,11207,"Funds are  to provide youth football/cheer, culture awareness program and help feed the homeless program. Funds will be used to purchase large football field practice equipment, uniforms, practice jerseys, footballs, league fee, referee fee, trophies, food for the feed the homeless project and literature for the culture awareness program.",,
YOUTH,Ferreras,"La Asociacion Benefica Cultural Father Billini, Inc.",112548753,,3500,DYCD,,35-34 105th Street,,Corona,NY,11368,"To support the Building for Success Initiative to provide underserved children with afterschool tutoring, in addition to supporting the Healthy Life Initiative to provide children the opportunity to explore the arts through dance, music, art, physical recreation, encourage healthy eating habits and promote healthy choices.",,
LOCAL,Speaker,La Guardia and Wagner Archives at La Guardia Community College CUNY,136400434,,80000,CUNY,,31-10 Thomson Avenue Room E-238,,Long Island City,NY,11101,"To fund The New York City Council collection, which represents an unparalleled documentation of the legislative history of our city from the 1930's to the early 21st century. It includes not only copies of the thousands of enacted laws and official publications, but also the records of public hearings and committee files on legislation under consideration and ad hoc investigations, numerous photographs.",,
LOCAL,Levin,"La Nueva Esperanza, Inc.",204393724,,10000,DOHMH,,213 Johnson Avenue,,Brooklyn,NY,11206,To provide Food and Nutrition Services to HIV/AIDS infected individuals. ,,
LOCAL,Reynoso,"La Nueva Esperanza, Inc.",204393724,,7000,DOHMH,,213 Johnson Avenue,,Brooklyn,NY,11206,To support providing Food and Nutrition Services to HIV/AIDS infected individuals. Funds will be allocated to rent/utilities and pantry bags.,,
LOCAL,Espinal,"La Nueva Esperanza, Inc.",204393724,,10000,DOHMH,,213 Johnson Avenue,,Brooklyn,NY,11206,Funds to offset operational expenses including  Rent/Utilities & Pantry bags,,
LOCAL,Levin,"Labor and Industry for Education, Inc.",114088055,,3500,CUNY,,112 Spruce Street,Suite 5,Cedarhurst,NY,11516,To enhance educational programs at Jonathan Williams in Williamsburg.,,
LOCAL,Treyger ,"Labor and Industry for Education, Inc.",114088055,,3000,CUNY,,112 Spruce Street,Suite 5,Cedarhurst,NY,11516,Funding will be used to enhance the educational programs LIFE offers through its EarlyLearn Programs.,,
LOCAL,Cumbo,"Lafayette Gardens Tenants Association, Inc.",113556000,,4000,NYCHA,,345 calsson avenue,17d,Brooklyn,NY,11205,"Funding to provide after school recreational programs, meals for seniors, parenting classes, social services, and violence prevention for Public Housing youth, adults and seniors who live in Central Brooklyn and the surrounding communities. ",,
LOCAL,Cumbo,"Lafayette Gardens Tenants Association, Inc.",113556000,,5000,NYCHA,,345 CLASSON AV APT 17D,,Brooklyn,NY,11205,"Funds  to provide a range of services and programs for youth, adults and seniors who live in Lafayette Gardens and other Public Housing Developments in the area.",,
LOCAL,Rosenthal,"Landmark West, Inc.",133363655,*,3500,DOE,,45 West 67th Street,,New York,NY,10023,"Funding to support Keeping the Past for the Future at PS 87, a classroom-based education program that uses the built environment to teach students about their community",,
LOCAL,Koo,Latimer Gardens Resident Association,364569848,*,6000,NYCHA,,34-45 Linden Place,,FFlushing,NY,11354-2945,"Funds will go towards office supplies monthly mailings to tenants and community, equipment maintenance, and refreshments for meetings and events.",,
AGING,Dromm,"Latin American Cultural Center of Queens, Inc.",112997255,,8000,DFTA,,120-55 Queens Boulevard Room 333,,Kew Gardens,NY,11424-1015,To support Sunday to Remember art and culture program for seniors.  Funds will cover artists fees and operational costs.,,
YOUTH,Ferreras,"Latin American Cultural Center of Queens, Inc.",112997255,,5000,DYCD,,120-55 Queens Boulevard Room 333,,Kew Gardens,NY,11424-1015,"To support afterschool programming designed to develop fundamental skills and techniques in mediums such as drawing, sketching, sculpting and painting.",,
YOUTH,Gibson,Latino Pastoral Action Center,133883350,,5000,DYCD,,14 West 170th Street,,Bronx,NY,10452,"Funds will support LPAC's Greater Heights program.  The program will use the funds to produce informational material,  supplies, enrichment services, outreach and awareness, educate, equip and empower youth in the community. ",,
LOCAL,Espinal,"Latinos Americanos Unidos, Inc.",113361821,*,9500,DYCD,,218 Wykoff Avenue,,Brooklyn,NY,11237,Funds will provide immigration services including classes in English and Computer Literacy.  Monies will also be used to defray purchase costs of computer equipment and hiring of teaching staff.  Lastly to provide intermediary services for Domestic Violence.,,
YOUTH,Dickens,"League for the Enhancement of All African's Future, Inc.",383706437,*,5000,DYCD,,511 Manhattan AVE,,New York,,10027,"To provide enrichment programing after-school children, including French language classes, drum and  violin lessons, chess lessons and summer camp.",,
LOCAL,Cornegy,"Learning Leaders, Inc.",132658549,,7000,DYCD,,80 Maiden Lane,Suite 1102,New York,NY,10038,To support Learning Leaders work in providing volunteer training and family education workshops in elementary and middle schools,,
YOUTH,Cumbo,"Learning Leaders, Inc.",132658549,,4500,DYCD,,80 Maiden Lane,Suite 1102,New York,NY,10038,Funds  to provide volunteer training and family education workshops in elementary and middle schools. ,,
LOCAL,Cabrera,"Learning Leaders, Inc.",132658549,,9000,DYCD,,80 Maiden Lane,Suite 1102,New York,NY,10014,To provide academic support for public school children at elementary and middle schools in City council District 14 by training volunteers and parents to provide academic support.,,
YOUTH,Koo,"Learning Leaders, Inc.",132658549,,5000,DYCD,,80 Maiden Lane,Suite 1102,New York,NY,10038,"To provide for volunteer training and family education workshops in elementary and middle schools, and academic support from LL volunteers for schools in District 20. LL staff also provides workshops at parent conferences in collaboration with the DOE, UFT and community-based organizations.",,
LOCAL,Levine,"Learning Leaders, Inc.",132658549,,3500,DYCD,,80 Maiden Lane,Suite 1102,New York,NY,10038,"Funding to provide volunteer training, family education workshops and workshops for parents. Funding will support general program costs for programs based in Council District 7.",,
YOUTH,Palma,"Learning Leaders, Inc.",132658549,,4000,DYCD,,80 Maiden Lane,Suite 1102,New York,NY,10038,"To provide academic support for students, training for volunteers and family education and parent workshops in  elementary and middle schools.",,
LOCAL,Dickens,"Learning Leaders, Inc.",132658549,,3500,DYCD,,80 Maiden Lane,Suite 1102,New York,,10038,To provide volunteer training and family education workshops in elementary and middle schools. ,,
YOUTH,Rosenthal,"Learning Leaders, Inc.",132658549,,3500,DYCD,,80 Maiden Lane,Suite 1102,New York,NY,10038,Funding to provide Volunteer training and family education workshops.,,
LOCAL,Rodriguez,"Learning Leaders, Inc.",132658549,,3500,DYCD,,80 Maiden Lane,Suite 1102,New York,NY,10038,Funding to provide family education workshops and volunteer training,,
YOUTH,Chin,"Learning Leaders, Inc.",132658549,,3500,DYCD,,80 Maiden Lane,Suite 1102,New York,NY,10038,Funding will provide volunteer training and family education workshops in elementary and middle schools in Council District 1 schools. Volunteers provide academic support to students during the school year.,,
LOCAL,King,"Learning Tree Cultural Center Inc, The",133313723,,10000,DYCD,,801 Bartholdi Street,,Bronx,NY,10467,"Funds will be devoted to academic workshops, seminars and a variety of events for participants and the community, such as Kwanzaa Fair, Family Dance, Duck Race, Community Gardening Program, and the Daddy Dance.  Program will rune through the academic school year - September through June and Summer Program July and August Monday through Friday  Hours: 3:00 pm - 6:00 pm",,
YOUTH,Cabrera,Leave It Better Foundation Inc.,273994291,,6000,DYCD,,720 Greenwich St,2M,New York,NY,10014,"Funding will provide support for a multi-pronged education initiative.  Programming will offer students the opportunity to learn about agriculture, nutrition and filmmaking.",,
YOUTH,Ferreras,"Lefrak City Youth and Adult Activities Association, Inc.",113106422,,0,DYCD,,57-12 94TH STREET,,ELMHURST,NY,11373,"Funding  will support youth the Community Empowerment Initiative comprising homework assistance, English and math tutorials, sports and arts recreational activities. Programming also promotes youth leadership development and violence prevention.
",,
LOCAL,Ferreras,"Lefrak City Youth and Adult Activities Association, Inc.",113106422,,10000,DYCD,,57-12 94TH STREET,,ELMHURST,NY,11373,"Funding  will support youth the Community Empowerment Initiative comprising homework assistance, English and math tutorials, sports and arts recreational activities. Programming also promotes youth leadership development and violence prevention.
",,
LOCAL,Cumbo,Legal Aid Society,135562265,,4500,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"Funds will support Citywide Civil Legal Services in District 35, including housing, foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, immigration, family/domestic violence, law reform, education, consumer law, elder law, disability law, and community development work. ",,
LOCAL,Cabrera,Legal Aid Society,135562265,,10000,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,,"Funds will support Citywide Civil Legal Services in District 14 including housing, education, elder law, government benefits, foreclosure prevention, homeless rights, health, employment, low-wage worker, immigration, family/domestic violence, law reform, consumer law, disability law, and community development work. ",,
LOCAL,Garodnick,Legal Aid Society,135562265,,3500,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,Funding will support free legal services in Council District 4.,,
LOCAL,Kallos,Legal Aid Society,135562265,,10000,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"To support Citywide Civil Legal Services in District 5 including  housing, education, tax law, health, foreclosure prevention, homeless rights, government benefits, employment, low-wage worker, immigration, family/domestic violence, law reform, consumer law, elder law, disability law, and community development work.",,
LOCAL,Koo,Legal Aid Society,135562265,,5000,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"To support Civil Legal Services in District 20, including advocacy and legal representation, education efforts and community development work. ",,
LOCAL,Levin,Legal Aid Society,135562265,,3500,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"To support the Citywide Civil Legal Services in District 33 including our housing, education, foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, immigration, family/domestic violence, law reform, consumer law, elder law, disability law, and community development work. ",,
LOCAL,Levine,Legal Aid Society,135562265,,4000,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"Funds to support Citywide Civil Legal Services in District 7 including  housing, education, foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, immigration, family/domestic violence, law reform, consumer law, elder law, disability law, and community development work. ",,
LOCAL,Palma,Legal Aid Society,135562265,,5000,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"To provide civil, criminal and juvenile legal services including Citywide Civil Legal Services, UI/SSI Civil Legal Services, HPD Anti-Eviction Legal Services, and IOI Civil Legal Services in Council district 18.",,
LOCAL,Mendez,Legal Aid Society,135562265,,6000,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"Funding to provide Civil Legal Services in District 2 including  housing, education, foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, immigration, family/domestic violence, law reform, consumer law, elder law, disability law, and community development work. ",,
LOCAL,Rose,Legal Aid Society,135562265,,9750,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"The funds will support staffing for Citywide Civil Legal Services in District 49 including housing, foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, immigration, family/domestic violence, law reform, education, consumer law, elder law, disability law, and community development work.",,
LOCAL,Johnson,Legal Aid Society,135562265,,3500,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"To provide legal services to low-income families and individuals, including support for Citywide Civil Legal Services, UI / SSI Civil Legal Services, and in HPD Anti-Eviction Legal Services .",,
LOCAL,Rosenthal,Legal Aid Society,135562265,,3500,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"To support  Citywide Civil Legal Services in District 6 including housing, education, foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, immigration, family/domestic violence, law reform, consumer law, elder law, disability law, and community development work.",,
LOCAL,Eugene,Legal Aid Society,135562265,,6000,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"To support Citywide Civil Legal Services in District 40, including housing, immigration,  foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, family/domestic violence, law reform, education, consumer law, elder law, disability law, and community development work",,
LOCAL,Chin,Legal Aid Society,135562265,,3500,DYCD,,The Legal Aid Society,199 Water Street,NY,NY,10038,"To provide civil legal services in District 1, including housing, health, employment, low-wage worker, immigration, family/DV, government benefits, homeless rights, law reform, elder law, disability law, education, and community development work.",,
LOCAL,CD28,Legal Aid Society,135562265,,3500,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"The funds will support Citywide Civil Legal Services in District 28 including our housing, education, foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, immigration, family/domestic violence, law reform, consumer law, elder law, disability law, and community development work. ",,
LOCAL,Mark-Viverito,Legal Aid Society,135562265,,5000,DYCD,,The Legal Aid Society,199 Water Street,New York,NY,10038,"Funds will support our Citywide Civil Legal Services in District 8 including our housing, education, foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, immigration, family/domestic violence, law reform, consumer law, elder law, disability law, and community development work.",,
LOCAL,Kallos,Legal Information for Families Today (LIFT),133910567,,2500,MOCJ,,32 Court Street Ste 1208,,Brooklyn,NY,11201,"To support the production of  Legal Resource Guides, which empower citizens with the information to navigate the City’s complex Family Courts.",,
LOCAL,Gentile,Legal Information for Families Today (LIFT),133910567,,2500,MOCJ,,32 Court Street Ste 1208,,Brooklyn,NY,11201,"Funds will support the production of the Legal Resource Guides, which empowers people with the information to navigate the City’s complex Family Courts.",,
LOCAL,Rosenthal,Legal Information for Families Today (LIFT),133910567,,3500,MOCJ,,32 Court Street Ste 1208,,Brooklyn,NY,11201,"Support the production of  Legal Resource Guides, which empower  constituents with the information to navigate the City’s complex Family Courts.",,
LOCAL,Chin,Legal Information for Families Today (LIFT),133910567,,3500,MOCJ,,32 Court Street Ste 1208,,Brooklyn,NY,11201,To produce and distribute multilingual educational materials on issues related to navigating family courts.,,
LOCAL,Williams,Legal Information for Families Today (LIFT),133910567,,3500,MOCJ,,32 Court St Ste 1208,,Brooklyn,NY,11201,"Funds to enhance access to justice for children and families by providing legal information, community education, and compassionate guidance, while promoting system-wide reform of the courts and public agencies.",,
LOCAL,Dromm,Legal Services NYC - Queens Legal Services Corporation,132605604,,5000,DYCD,,8900 Sutphin Boulevard,,Jamaica,NY,11435,On-site legal advice and know your rights education law clinics for students in the District 25. ,,
LOCAL,Matteo,Legal Services NYC - Staten Island Legal Services,132600199,,2000,DYCD,,36 Richmond Terrace,suite 205,Staten Island,NY,10301,Funding to continue helping Sandy victims get proper insurance payments and assistance from Build it Back and other ,,
LOCAL,Rose,Legal Services NYC - Staten Island Legal Services,132600199,,9750,DYCD,,36 Richmond Terrace,suite 205,Staten Island,NY,19391,"SILS seeks funding to support its work representing low income domestic violence survivors, particularly immigrants and survivors who do not speak English well.  Funding will be used to help support an attorney to provide legal representation.",,
LOCAL,Cohen,Lehman College Art Gallery,133391212,,5000,DCLA,,Lehman College Art Gallery,250 Bedford Park Boulevard West,Bronx,NY,10468-1589,Funding to help create opportunities for children and adults to learn in/through art.,,
LOCAL,Cohen,"Lehman College Center for the Performing Arts, Inc.",133047056,,10000,DCLA,,250 Bedford Park Boulevard West,,Bronx,NY,10468,Funding to subsidize costs of tickets to performances at the Lehman Center.,,
LOCAL,Speaker,"Lehman College Center for the Performing Arts, Inc.",133047056,,25000,DCLA,,250 Bedford Park Boulevard West,,Bronx,NY,10468,To support Lehman Center’s 2014-2015 Concert Season and Community Outreach,,
YOUTH,Deutsch,"Lennys Lighthouse, Inc.",260595266,,8000,DYCD,,1610 Gravesend Neck Road,,Brooklyn,NY,11229-4431,Assisting disabled individuals offering small residential programs who would prefer services comfortable for Russian speakers.,,
AGING,Garodnick,"Lenox Hill Neighborhood House, Inc.",131628180,,17500,DFTA,,331 E 70th St,,New York,NY,10021,"Funding will support the Senior Center at Saint Peter's Church, which serves more than 3,000 seniors annually with diverse meal, intellectual, health and social programs",,
AGING,Garodnick,"Lenox Hill Neighborhood House, Inc.",131628180,,7500,DFTA,,331 E 70th St,,New York,NY,10021,Funding will support transportation for seniors to programs at the Center. ,,
AGING,Garodnick,"Lenox Hill Neighborhood House, Inc.",131628180,,10000,DFTA,,331 E 70th St,,New York,NY,10021,Funding will support  a senior-oriented event for Upper East Side residents. ,,
AGING,Kallos,"Lenox Hill Neighborhood House, Inc.",131628180,,5000,DFTA,,331 E 70th St,,New York,NY,10021,"To support the East Side Transportation Program which provides transportation services to seniors 7 days a week, including transportation to and from the two senior centers, Lenox Hill Neighborhood House, and weekend cultural and recreational trips.",,
AGING,Kallos,"Lenox Hill Neighborhood House, Inc.",131628180,,5000,DFTA,,331 E 70th St,,New York,NY,10021,"To support the East Side Case Management Consortium which provides case management to seniors  on Roosevelt Island, 14th Street to 143rd Street, 5th Avenue to the East River.",,
AGING,Kallos,"Lenox Hill Neighborhood House, Inc.",131628180,,5000,DFTA,,331 E 70th St,,New York,NY,10021,"To support the Innovative Senior Center which provides diverse programming from literature and foreign language to belly dancing and Tai Chi, in addition to three wonderful and nutritious congregate meals prepared daily on site.",,
YOUTH,Kallos,"Lenox Hill Neighborhood House, Inc.",131628180,,20000,DYCD,,331 E 70th St,,New York,NY,10021,"To support the Afterschool and Summer Camp programs for low-income children in the East Side Community, operating from 3 p.m. to 6 p.m. and on full days during school holidays.",,
LOCAL,Mark-Viverito,"Lenox Hill Neighborhood House, Inc.",131628180,,5000,DFTA,,331 E 70th St,,New York,NY,10021,"Funds will be used to provide comprehensive social, psychiatric, recreational, counseling, legal and other supportive services in a permanent housing residence for formerly homeless, mentally ill single adults in District 8.",,
LOCAL,Chin,"LES Creative People in Action, Inc.",272188237,,3500,DYCD,,PO Box 810,,New York,NY,10002,The funds will be used to produce a free outdoor musical concert in the East River Park Bandshell.,,
LOCAL,Johnson,"Lesbian & Gay Community Services Center, Inc. (LGBT Center)",133217805,,7500,DSS/HRA,,208 West 13th Street,,New York,NY,10011-7702,"To support and expand Information and Referral (IR) program to connect LGBT individuals to HIV/AIDS support, immigration resources, medical assistance, addiction recovery counseling, and housing  ",,
LOCAL,Speaker,"Lesbian & Gay Community Services Center, Inc. (LGBT Center)",133217805,,150000,DSS/HRA,,208 West 13th Street,,New York,NY,10011-7702,"Crisis intervention services for the LGBT community as well as connection to resources and information about emergency housing, medical assistance, HIV/AIDS programming, immigration resources, legal services, addiction recovery counseling, and other key areas for the LGBT community.",,
LOCAL,Eugene,Let Go & Let God Ministry,113253896,,4000,DYCD,,1601 Nostrand Avenue,,Brooklyn,NY,11226,"To support operation costs of the Community Alliance Bloc-By-Bloc Street Fair including: 1) space rental 2)promotional expenses (graphics, printing, mobilizing), 3) staff costs to erect stage 4) help defray costs of musicians and entertainment 5)transportation and equipment rental.",,
AGING,Dromm,Lexington Hearing and Speech Center Inc,112646484,,3500,DFTA,,74-20 25th Avenue,,Jackson Heights,NY,11370,"To transport seniors to hearing testing site, provide testing, and schedule for any necessary appointments.",,
YOUTH,Rose,"Liberian Cultural Center, LLC",550802603,,5000,DYCD,,361 Van Duzer Street,,Staten Island,NY,10304,"Funds will support the costs associated with the After-School/Youth Development-activities, including staffing, promotion, materials and equipment, and related administrative costs.",,
LOCAL,Ferreras,"Library Action Committee of Corona-East Elmhurst, Inc.",112228514,,10000,DCLA,,Library Action Committee of Corona-East Elmhurst Inc,100-01 Northern Boulevard,Corona,NY,"11368
-1138",Funds will support the Langston Hughes Community Library and Cultural Centers Cultural Arts Program.,,
YOUTH,Miller,"Life Camp, Inc.",200814999,,7500,DYCD,,111-12 Sutphin Blvd,,Jamaica,NY,11435,"Funds to support operating costs to help reduce the incidence of violence, shootings and killings among youth in our targeted area of South Jamaica Queens Community.",,
YOUTH,CD28,"Life Camp, Inc.",200814999,,17000,DYCD,,111-12 Sutphin Blvd,,Jamaica,NY,11435,"To support programming aimed at reducing incidents of violence, shootings and killings among youth in our targeted area of South Jamaica Queens Community.",,
LOCAL,Eugene,Life of Hope,205252137,,11000,DYCD,,332 East 32nd Street,1886 Noostrand Ave,Brooklyn,NY,"11226
-7906","To support operating costs of Life of Hope programs, including classroom and office space expenses for: youth mentoring block, adult literacy, computer literacy, Pre-GED/GED prep, citizenship classes prep, financial literacy, family orientation and job-readiness.",,
YOUTH,Williams,Life of Hope,205252137,,6000,DYCD,,332 East 32nd Street,1886 Noostrand Ave,Brooklyn,NY,"11226
-7906","Funds to support youth and adult literacy programs, technology lab literacy and afterschool program.",,
AGING,Ignizio,"Lifestyles for the Disabled, Inc.",133740011,,8500,DFTA,,930 Willowbrook Road,Building 12-G,Staten Island,NY,10314-4209,Funding will be used for equipment and supplies to support our Horticulture Program ,,
AGING,Matteo,"Lifestyles for the Disabled, Inc.",133740011,,12000,DFTA,,930 Willowbrook Road,Building 12-G,Staten Island,NY,10314-4209,Funding will support new Disaster Relief Program for the Developmentally Disabled and Senior Citizens which focus relief efforts to  most vulnerable disaster victims.,,
LOCAL,Rose,"Lifestyles for the Disabled, Inc.",133740011,,5000,DFTA,,930 Willowbrook Road,Building 12-G,Staten Island,NY,10314-4209,"Funding to defray the costs of food purchases to support dinners for our community’s senior citizens. Every month, dinners are prepared and served to seniors by Lifestyles’ program participants with varying developmental disabilities.",,
YOUTH,Garodnick,Lighthouse International,131096620,*,3500,DYCD,,111 E 59th Street,,NY,NY,10022,Funding will support the Family Committee Circle which supports parents of visually impaired children.,,
LOCAL,Crowley,"Lincoln Center for the Performing Arts, Inc.",131847137,,7000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,Funding will be used to produce free performance(s) at Ridgewood library.,,
LOCAL,Cabrera,"Lincoln Center for the Performing Arts, Inc.",131847137,,10000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,"Lincoln Center respectfully requests renewal support for Meet the Artist School Series to provide public school teachers from schools in Council District 14 with the opportunity to bring their class to Lincoln Center for a program that showcases a unique blend of performance, participation and education. Students are placed front-and-center to actively engage with the artists, from singing to drumming to break dancing.",,
LOCAL,Kallos,"Lincoln Center for the Performing Arts, Inc.",131847137,,5000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,To provide arts programming for students and audiences in District 5.,,
LOCAL,Koo,"Lincoln Center for the Performing Arts, Inc.",131847137,,5000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,"To provide support for Lincoln Center’s popular series, Lincoln Center Local, and to produce free performance(s) at Flushing Branch of Queen Library. ",,
LOCAL,Gentile,"Lincoln Center for the Performing Arts, Inc.",131847137,,5000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,"Funds will support the Meet the Artist School Series program to provide public school teachers with the opportunity to bring their class to Lincoln Center for a program that involves a blend of performance, participation, and education.",,
LOCAL,Miller,"Lincoln Center for the Performing Arts, Inc.",131847137,,5000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,Funding supports Lincoln Center Local. The funding will be used to produce free performance(s) at Central library and Cambria Heights branches in district 27   and support efforts to produce encore digital performances. ,,
LOCAL,Dickens,"Lincoln Center for the Performing Arts, Inc.",131847137,,3500,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,,10023,"To support Lincoln Center Education, including arts programming for students in District 9, including at the Frederick Douglass Academy II.",,
LOCAL,Rosenthal,"Lincoln Center for the Performing Arts, Inc.",131847137,,3500,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,"Funding supports Poet-Linc, a poetry slam competition for public high school students at Lincoln Center with interactive performances on the first Saturday of each month in the David Rubenstein Atrium.",,
LOCAL,Ulrich,"Lincoln Center for the Performing Arts, Inc.",131847137,,3000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,Funds will be used to provide arts educational programing for students in District 32,,
LOCAL,Vallone,"Lincoln Center for the Performing Arts, Inc.",131847137,,10000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,"The funding will help support the Lincoln Center Education program, to provide invigorating arts programming for students and audiences.",,
LOCAL,Van Bramer,"Lincoln Center for the Performing Arts, Inc.",131847137,,10000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,Funding to produce free performance(s) at Broadway library branch this summer and support efforts to produce encore digital performances.,,
LOCAL,Levine,"Lincoln Center for the Performing Arts, Inc. ",131847137,,5000,DCLA,,70 Lincoln Center Plaza,9th Floor,New York,NY,10023,Funding to support Lincoln Center Education--to provide invigorating arts programming for students and audiences in District 7. ,,
LOCAL,Speaker,Lincoln Hospital,133040671,,100000,HHC,,,,,,,Support Guns Down Life Up Program (SOS),,
AGING,Rosenthal,Lincoln Housing Outreach,133668207,*,5000,DFTA,,303 W66th St,,New York,NY,10023-6581,"Funding to provide case assistance, case management, health care assistance and referral to other appropriate services in the community including DOROT. LHO also provides activities and classes to promote good health as well as educational, recreational and socialization opportunities.",,
LOCAL,Rosenthal,"Lincoln Square District Management Association, Inc.",133922300,,3500,DYCD,,1841 Broadway,Suite 1112,New York,NY,10023,"Funding to expand multicultural programming during Winter’s Eve, NY’s largest holiday festival",,
LOCAL,Rosenthal,"Lincoln Square District Management Association, Inc.",133922300,,3500,DYCD,,1841 Broadway,Suite 1112,New York,NY,10023,Funds to help pay stipends for high-school/college-aged students who work with the BID as Information Ambassadors at our three Neighborhood Information Carousels which hold BID publications and material from neighborhood organizations and businesses.  ,,
LOCAL,Ulrich,"Lindenwood Community Volunteer Ambulance Corps, Inc.",237295865,,5000,FDNY,,94-10 133ave South Ozone Park Queens,Post Office Box 170191 South Ozone Park,New York,NY,11417,Funds will be used to provide emergency ambulatory service to the public,,
LOCAL,Cohen,"Literacy, Inc. (LINC)",133911331,,10000,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"Funding will support literacy programs, parent engagement and community celebrations throughout the 11th Council district.",,
YOUTH,Cabrera,"Literacy, Inc. (LINC)",133911331,,6000,DYCD,,5030 Broadway,Suite 641,New York,NY,10034,"Requested funding will support LINC’s menu of literacy programs in the Council District. These include school based literacy support programs, library based literacy support programs, community based literacy support programs, parent engagement programs and community celebrations.",,
