Source,Council Member,Legal Name of Organization,EIN,*,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Youth,Garodnick,"New York Road Runners, Inc.",132949483,,"$3,500",DYCD,,9 East 89th Street,,New York,NY,10128,Funding will support running-based youth development and health programs for New York City school-aged children.,,
Local,Recchia,"New York Road Runners, Inc.",132949483,,$0,DOHMH,,9 East 89th Street,,New York,NY,10128,"To support running-based obesity prevention and health and fitness programs for New York City school-aged children and their families, adults and seniors.",,
Obesity Prevention Initiative,,"New York Road Runners, Inc.",132949483,,"$250,000",DOHMH,,845 3rd Avenue ,,Manhattan,NY,10022,,,
Boro,Manhattan Delegation,New York Scandia Symphony,133574230,,"$3,500",DCLA,,720 Fort Washington Avenue 5D,,New York,NY,10040-3726,To fund the Scandinavian Music Festival in Fort Tryon Park in Northern Manhattan and two concerts at Scandinavia House. ,,
Local,Jackson,New York Scandia Symphony,133574230,,"$3,000",DCLA,,720 Fort Washington Avenue 5D,,New York,NY,10040-3726,Funds will support the Scandinavian Music Festival which presents three June concerts in Fort Tryon Park. ,,
Youth,Rodriguez,New York Scandia Symphony,133574230,,"$5,000",DYCD,,720 Fort Washington Avenue  5D,,New York,NY,10040-2736,"To support Scandanavian music programming at the Ann Lofuts Playground at Fort Tyron Park, and to fund equipment, musicians salaries, and administrative costs associated with the childrens music programs.",,
Local,Rose,"New York State Institute on Disability, Inc.",133842199,,"$3,500",DOHMH,,930 Willowbrook Road,Building 41A Room 2,Staten Island,NY,10314,"To support the NYSIDs Staten Island Community Assistive and Adaptive Technology (SICAAT) Center to support inclusion for children and adults with developmental disabilities, providing updated technology equipment, and supporting a summer Computer Lab.",,
Local,Mendez,"New York State Tenants and Neighbors Information Service, Inc.",141761209,,"$3,500",HPD,,236 West 27th Street,4th floor,New York,NY,10001,"Funding used to provide counseling and referrals to individual tenants with housing problems, educate tenants who live in affordable housing about their rights, conduct skills-building and leadership development trainings for grassroots tenant leaders, help tenants who live in affordable housing organize strong and democratic tenant associations, and help tenant associations carry out campaigns around issues of concern in their buildings, such as tenant harassment, poor conditions, or a threat to long-term affordability. Funds will also educate tenants about opportunities for civic engagement, such as participation in the annual Rent Guidelines Board hearings.",,
Local,James,"New York State Tenants and Neighbors Information Service, Inc.",141761209,,"$4,000",HPD,,236 West 27th Street,4th floor,New York,NY,10001,"To provide counseling and referrals for tenants with housing problems, to educate tenants about their rights, conduct skills-building and leadership development trainings, help tenants organize strong and democratic tenant associations, and to help tenant associations carry out campaigns around issues of concern in their buildings.",,
Local,Brewer,"New York State Tenants and Neighbors Information Service, Inc.",141761209,,"$3,000",HPD,,236 West 27th Street,4th floor,New York,NY,10001,"The funding will be used to provide counseling and referrals to tenants with housing problems; educate tenants about their rights; conduct skills-building and leadership development trainings; help tenants organize strong and democratic tenant associations; help tenant associations carry out campaigns around issues of concern in their buildings and educate tenants about opportunities for civic engagement, such as participation in the annual Rent Guidelines Board hearings and biannual Maximum Base Rent hearings.",,
Boro,Manhattan Delegation,"New York State Tenants and Neighbors Information Service, Inc.",141761209,,"$3,500",HPD,,236 West 27th Street,4th floor,New York,NY,10001,Provide funding to: 1) counsel tenants and provide referrals; 2) educate tenants; 3) conduct skills-building and leadership development trainings; 4) help tenants who live in affordable housing organize tenant associations; and 5) help tenant associations carry out campaigns around issues of building concerns and educate tenants about opportunities for civic engagements.,,
Local,Chin,"New York State Tenants and Neighbors Information Service, Inc.",141761209,,"$5,000",HPD,,236 West 27th Street,4th floor,New York,NY,10001,"The funding will be used to provide services to tenants including counseling with housing problems, education, leadership training for tenant leaders and assistance to tenant associations.",,
Local,Garodnick,"New York State Tenants and Neighbors Information Service, Inc.",141761209,,"$3,500",HPD,,236 West 27th Street,4th floor,New York,NY,10001,"Funding will support education, counseling and organizing assistance to help rent regulated, Section 8 and Mitchell-Lama tenants maintain the affordability of their apartments in District 4.",,
Local,Jackson,"New York State Tenants and Neighbors Information Service, Inc.",141761209,,"$3,000",HPD,,236 West 27th Street,4th floor,New York,NY,10001,"Funds will support tenant services including counseling and referrals, education, leadership development and skills trainings, tenant organization and assistance to tenant organizations.",,
Local,Palma,"New York State Tenants and Neighbors Information Service, Inc.",141761209,,"$5,000",HPD,,236 West 27th Street,4th floor,New York,NY,10001,"To provide tenants with  counseling and referrals, educate tenants who live in affordable housing about their rights, skills-building and conduct leadership development trainings for grassroots tenant leaders, help tenants who live in affordable housing organize strong and democratic tenant associations, help tenant associations carry out campaigns around issues of concern in their buildings, and educate tenants about opportunities for civic engagement.",,
Local,CC,"New York State Tenants and Neighbors Information Service, Inc.",141761209,,"$100,000 ",HPD,,236 West 27th Street,4th floor,New York,NY,10001,"Funding to provide information and referrals to tenants with housing problems; help affordable housing tenants organize strong tenant associations; help TAs organize campaigns around issues or a threat to affordability; provide technical assistance and leadership development to leaders of tenant associations, so that they can effectively lead their own organizations and also play leadership roles in the broader movement; and provide citywide coordination of tenant-led initiatives to prevent unaffordable rent increases. ",,
Youth,Eugene,New York Teens Empowering More People Onward,383806414,,"$10,000",DYCD,,279 East 17th Street,,Brooklyn,NY,11226,"To support the youth-written newsletter, offer academic and tutoring services and to fund group and community projects.",,
Local,Gentile,"New York Theatre Workshop, Inc.",133131491,,"$4,000",DCLA,,83 E 4th Street,,New York,NY,10003-8904,"To support Learning Workshop, a multidisciplinary theatre education program at Lower Manhattan Arts Academy (LoMA) on the Lower East Side and the High School of Telecommunications Arts and Technology (HSTAT) in Bay Ridge, Brooklyn, including in-class projects and theater performances.",,
Local,Garodnick,New York University,135562308,,"$3,500",DOHMH,,70 Washington Square South,,New York,NY,10012,Funding will support the Neuroscience Outreach Group program at a public school in District 4.,,
NYU Furman Center SHIP,,New York University,135562308,,"$45,000",HPD,,70 Washington Square South,,New York,NY,10012,"As part of the Speaker's State of the City initiative in 2011, this initiative will fund the Furman Center to conduct training and outreach to potential users of a new, comprehensive database of New York City's privately owned subsidized housing, and support data uploads and maintenance of the database and website.",,
Local,Dickens,New York University College of Dentistry,135562308,,$0,DOHMH,,,,,,,To provide Dental Van visits in District #9.,,
New York University Mobile Dental Van,,New York University College of Dentistry ,135562308,,"$268,000",DOHMH,,345 E. 24th Street,,New York,NY,10010,,,
Local,CC,New York University- College of Nursing,135562308,,"$30,000 ",DOHMH,,70 Washington Square South,,New York,NY,10012,"To continue the leadership training of nurses in NYC. The program trains 10-12 nurses of African descent each year for leadership positions in health care through education and mentorship.  Our current class represents nurses from Queens Hospital Center, Maimonides Medical Center, Mouth Sinai and Lagnone Medical Centers. ",,
Local,Dickens,New York Urban League,131671035,,"$10,000",DYCD,,204 West 136th Street,,New York,,10030,"To support the Absolute Success College Access Program (ASCAP), including College and Career Readiness, Academic Enrichment Preparation, Mentoring, and a  Historically Black College and University Fair.",,
Local,CC,New York Urban League,131671035,,"$10,000 ",DYCD,,204 West 136th Street,,New York,NY,10030,"To support our Absolute Success College Access Program (ASCAP. ASCAP is a comprehensive school based educational model that recognizes and emphasizes continuity services, positive adult/student relationships and learning atmospheres that guide and support students. Funding will be used for College and Career Readiness, Academic Enrichment Preparation, and Mentoring.  ASCAP utilizes workshops, counseling, mentoring, web-based technology and scholarship opportunities to help students.",,
Youth,Rose,"New York Urban League, Inc.",131671035,,"$5,500",DYCD,,204 West 136th Street,,New York,NY,10030,"To support our Absolute Success College Access Program (ASCAP), including college and career readiness, academic enrichment, mentoring, and a Historically Black College and University Fair.",,
Youth,James,"New York WEB Center, Inc",205620848,,"$3,500",DYCD,,402 Eastern Parkway,,Brooklyn,NY,11225,"To support the after school digital arts, entertainment and communications-based program, which provides self development and vocational skills for youth.",,
Local,CC,"New York WEB Center, Inc",205620848,,"$45,000 ",DYCD,,402 Easterm Parkway,,Brooklyn,NY,11225,"Funding will underwrite staff costs for NYWCs afterschool program at two locations in Central Brooklyn. Students will learn vocational skills relative to television broadcasting, including camera work, talent, news and feature reporting.",,
Anti-Gun Violence Initiative,,"New York WEB Center, Inc",205620848,,"$10,000",DYCD,,,,,,,Anti-gun violence programs and messaging,,
Local,Brewer,"New York Women in Film and Television, Inc.",132983705,,"$3,000",DCLA,,6 East 39th Street,Suite 1200,New York,NY,10016-0112,Funds will support the exhibition and distribution of films restored and preserved by NYWIFTs Womens Film Preservation Fund.,,
Local,Ferreras,"New York Women's Chamber of Commerce, Inc.",141845651,,"$10,000",DSBS,,1524 Amsterdam Avenue,1524 Amsterdam Avenue,New York,NY,10031-8954,"To support the Microenterprise Institute (MI),  providing one stop bilingual (English and Spanish) business education and assistance to start up and existing microenterprises, and to provide assistance and support for merchant organizing along Roosevelt Ave.",,
Local,Jackson,"New York Women's Chamber of Commerce, Inc.",141845651,,"$10,000",DSBS,,1524 Amsterdam Avenue,New York,New York,NY,10031-8954,Fund will support the Latino Microenterprise Institute providing bilingual business education and assistance to microenterprises.,,
Local,Palma,"New York Women's Chamber of Commerce, Inc.",141845651,,"$3,500",DSBS,,1524 Amsterdam Avenue,1524 Amsterdam Avenue,New York,NY,10031-8954,"To provide bilingual (English and Spanish) business education and assistance to start up and existing microenterprises. Services include training in business development, and technocal and other assistance.  ",,
Local,Rodriguez,"New York Women's Chamber of Commerce, Inc.",141845651,,"$5,000",DSBS,,1524 Amsterdam Avenue,1524 Amsterdam Avenue,New York,NY,10031-8954,"To provide bilingual (English and Spanish) business education and assistance to start up and existing microenterprises for women, minorities and other socially and economically disadvantaged individuals.",,
MWBE Leadership Association,,"New York Women's Chamber of Commerce, Inc.",141845651,,"$78,940",DSBS,,,,,,,Funding will provide for a range of services including guidance on government contracting for potential or City-certified MWBEs; assistance in connecting MWBEs to potential customers; aid in the development of bids and proposals; assistance in securing project financing and bonding; and the promotion and marketing of the City’s MWBE program.,,
Anti-Gun Violence Initiative,,New Yorkers Against Gun Violence,133808186,,"$30,000",DYCD,,3 West 29th Street,,New York,NY,10001,Anti-gun violence programs. ,,
Local,Viverito,New Yorkers For Parks,136167879,,"$4,250",DPR,,The Arthur Ross Center for Parks and Open Spaces,55 Broad Street 23rd Floor,New York,,10004,Funds to support research and publish an Open Space Index (OSI) for the Mott Haven neighborhood of the Bronx.  The OSI is an assessment tool that measures and evaluates the open space and environmental resources of a neighborhood against a set of NYC-tailored benchmarks.,,
Local,Recchia,New Yorkers For Parks,136167879,,"$2,000",DPR,,The Arthur Ross Center for Parks and Open Spaces,55 Broad Street 23rd Floor,New York,NY,10004,"To support the Daffodil Project, a year-round volunteer initiative in partnership with the Deptartment of Parks and Recreation to distribute free daffodil bulbs to community groups, public schools and park volunteers in all five boroughs and other activites to encourage the planting of daffodils in public places around the City.  Funds will be used to purchase and distribute over 300,000 daffodil bulbs, and to work with NYCHA residents and NYC public school students to plant bulbs through a Youth Planting Program.",,
Local,Ignizio,New Yorkers For Parks,136167879,,"$3,500",DPR,,The Arthur Ross Center for Parks and Open Spaces,55 Broad Street 23rd Floor,New York,NY,10004,To support the quality of city parks by analyzing DPR's capital projects process with the goal of suggesting improvements to the DPR's process.,,
Local,Lander,New Yorkers For Parks,136167879,,"$5,000",DPR,,The Arthur Ross Center for Parks and Open Spaces,55 Broad Street 23rd Floor,New York,,10004,To support a review and analysis of the New York City Department of Parks and Recreation's capital projects.,,
Local,Oddo,New Yorkers For Parks,136167879,,"$3,500",DPR,,The Arthur Ross Center for Parks and Open Spaces,55 Broad Street 23rd Floor,New York,NY,10004,"Funds will support an in-depth analysis of the Department of Parks and Recreation's capital projects process.
",,
Local,CC,New Yorkers For Parks,136167879,,"$15,000 ",DPR,,The Arthur Ross Center for Parks and Open Spaces,55 Broad Street 23rd Floor,New York,NY,10004,"To support the research and publication of its 2014 City Council District Profiles, which will provide comprehensive data about all 51 Council Districts’ open space resources, including population-adjusted open space ratios, a comparative ranking of Council Districts, and additional neighborhood and borough-wide demographic information.  Each Profile will include current photographs of neighborhood open spaces, a district map with all public open spaces, and contact information for local elected officials.  The purpose of the Profiles is to give New Yorkers detailed information about their neighborhood open space resources to enable them to prioritize their needs and advocate for future investments and improvements.",,
Youth,Rose,"Next Level Mens Group, Inc., The",770698347,,"$3,700",DYCD,,900 South Avenue,Ste 18,Staten Island,NY,10314,"To support the Enriched Empowerment Project's efforts to  guide young people away from  behaviors that put them at-risk and, or in life threatening situations. ",,
Youth,Nelson,NIA Community Services Network,112697931,,"$7,500",DYCD,,6614 11th Avenue,,Brooklyn,NY,11219-5901,"To support afterschool, out-of-school time, and summer programming to support academic success, character building, counseling, and positive youth development, promote respect for all, and foster a love of learning.",,
Local,Greenfield,NIA Community Services Network,112697931,,"$10,000",DFTA,,6614 11th Avenue,,Brooklyn,NY,11219-5901,"Funds used to offer assistance, referrals, and informational services, and helps seniors address their concerns and important quality of life issues. Staff will assist with social and fitness activities, offers healthy refreshments/lunch, and distributes informational materials and simple promotional items that highlight relevant issues and promote healthy aging/living. NIA sponsors special events/social gatherings/outings that include senior proms and picnics.",,
Youth,Gonzalez,NIA Community Services Network,112697931,,"$10,000",DYCD,,6614 11th Avenue,,Brooklyn,NY,11219-5901,"To provide afterschool, out-of-school time, and summer programming for children and youth, primarily from immigrant populations, including a range of academic, recreational, creative and health and fitness programming, and to provide parent workshops on topics to support child development.",,
Local,Recchia,NIA Community Services Network Inc.,112697931,,"$3,000",DYCD,,1230 - 65 Street,,Brooklyn,NY,11219-5614,To provide English classes for Spanish and Chinese language speakers in the area.  ,,
Aging,James,"Nia Theatrical Production Company, Inc.",113427470,,"$3,500",DFTA,,,,,,, To provide support for the ElderArts Theatre Festival program. Funds will be used to pay performers and technical staff and other performance-related costs.,,
Local,Vann,"Nia Theatrical Production Company, Inc.",113427470,,"$5,000",DCLA,,138 south oxford st,4a,Brooklyn,NY,11217-1694,To support an ElderArts Theater program including providing for performers and technical staff as well as for truck rentals to transport equipment to performance sites.,,
Local,Mealy,"Nia Theatrical Production Company, Inc.",113427470,,"$41,500",DCLA,,138 South Oxford St,suite 4A,Brooklyn,NY,11217-1694,"To support cultural programming, including the Old Timers’ Day July concerts, plays and other performances, for residents of the 41st Council District.",,
Youth,Mealy,"Nia Theatrical Production Company, Inc.",113427470,,"$6,214",DYCD,,138 South Oxford St,suite 4A,Brooklyn,NY,11217-1694,"To provide the Brownsville community with arts programming including the Old Timers’ Day July concerts and other musical and theatrical programs performed in senior centers, community centers and City parks.",,
Youth,Levin,Nicholas Naquan Heyward Jr Memorial Foundation Inc,260462728,,"$3,500",DYCD,,413 baltis Street  Suite 1-A,,Brooklyn,NY,11217-2568,"To support an annual youth basketball tournament. Funding will provide team outfits, three basketballs, four nets, one score board, time clock and trophies.",,
Youth,Wills,"Nicole Paultre Bell When It's Real, It's Forever Fund, Inc., The",208945512,,"$8,000",DYCD,,191 Beach 27th Street,,Far Rockaway,NY,11691,"To provide youths and adults in the community access to and training in basketball. This is done through the Sean Bell Family Day Event, the Sean Bell All Star Basketball Event, and the Know Your Rights Summit. ",,
Local,Comrie,"Nicole Paultre Bell When It's Real, It's Forever Fund, Inc., The",208945512,,"$3,500",DYCD,,191 Beach 27th Street,,Far Rockaway,NY,11691,"To support a youth basketball program as well as the Sean Bell Family Day Event, Sean Bell Allstar Basketball Event, and a Know Your Rights Summit.",,
Local,Oddo,"Nigerian-American Community Association, Inc.",200542826,*,"$3,500",DYCD,,295 Granite Avenue,,Staten Island,NY,10303,"Funds will support Immigration Counseling, Employment Training, Job Referral, Community Awareness, Cultural Activities, and Volunteerism. ",,
Local,Wills,"No Doubt, Inc.",043686397,,"$7,000",DYCD,,209-29 110th Avenue,,Queens Village,NY,11429,"To support programmig costs for Leadership and Character Development workshops, academic counseling, and entrepreneurial training to the public.",,
Local,Rose,"Noble Maritime Collection, The",133351673,,"$5,000",DCLA,,1000 Richmond Terrace,Building D,Staten Island,NY,10301,To support internships in the Museum Administration program at The Noble Maritime Collection museum. ,,
Local,Vann,"Noel Pointer Foundation, Inc.",113271472,,"$5,000",DCLA,,1368 Fulton Street,,Brooklyn,NY,11216,To provide for the school music programs from September to June.,,
Local,Levin,"Noel Pointer Foundation, Inc., The",113271472,,$0,DCLA,,1368 Fulton Street,,Brooklyn,NY,11216,"To support in-school music instruction, theory, history, small ensemble, and orchestra in local public schools.",,
Local,CC,Non-Traditional Employment for Women,133272001,,"$140,000 ",DSBS,,243 West 20th Street,,New York,NY,10011,"Funding to expand recruitment in areas with high unemployment;  target and support high-need populations including veterans, 18-24 year olds, foster care youth, ex-offenders, women without stable housing, NYCHA residents, and domestic violence survivors; train 500 low-income women in core and specialized training programs including Blue Collar Prep, ReNEW, NEW at Night, the NYCHA Resident Training Academy, the Laborers Green Training program, and the HVAC/ Building Operations Training program; focus on employment opportunities in all five Boroughs, targeting industrial business zones and Empire zones; ensure that women placed in the construction trades are not out of work by creating demand through the NEW Signature Projects Program; and increase employment opportunities for women in green jobs, facilities maintenance, utilities, and transportation.",,
Local,Levin,North Brooklyn Coalition Against Family Violence,113431280,,"$3,500",OCJC,,260 Broadway 3rd Floor,,Brooklyn,NY,11211,"To provide advocacy and services for survivors of domestic violence within the Williamsburg, Greenpoint, and Bushwick communities.",,
Local,Levin,North Brooklyn Development Corporation,112555446,,"$2,000",HPD,,148-150 Huron St,,Brooklyn,NY,11222,To counsel tenants and tenant associations on their rights and responsibilities and assist individuals in locating and applying for affordable housing in the community and throughout New York City.,,
Local,CC,North Brooklyn Development Corporation,112555446,,"$43,500 ",HPD,,148-150 Huron St,,Brooklyn,NY,11222,To employ tenant organizers to perform the following services: provide education and outreach at risk of displacement; counsel tenants and tenant associations on their rights and responsibilities; assist individuals in locating and applying for affordable housing. ,,
Community Consultant Contracts,,North Brooklyn Development Corporation,112555446,,"$9,132",HPD,,148-150 Huron St,,Brooklyn,NY,11222,The Community Consultant program allows neighborhood-based groups to provide the following services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.    ,,
Aging,Vacca,"North East Bronx Senior Citizens Center, Inc.",132759045,,"$30,750",DFTA,,2968 BRUCKNER BLVD,,BRONX,NY,10465,"Funds will support senior center including rent, utilities, printing and supplies.",,
Aging,Koo,"North Flushing Senior Center, Inc.",112741128,,"$12,000",DFTA,,29-09 137 STREET,,FLUSHING,NY,11354,"Funding supports programs and activities for seniors including line dance, aerobics, yoga instructors; cultural trips, entertainment, refreshments, congregate lunch, salaries and fringes, rental of spaces, program and maintenance costs, supplies, liability insurance, accountant fees.",,
Aging,CD19,"North Flushing Senior Center, Inc.",112741128,,"$8,500",DFTA,,29-09 137 STREET,,FLUSHING,NY,11354,"To provide programming and services for seniors, including instruction in dance and yoga, cultural programming, and meals, and to support the operational costs of the Senior Center.  ",,
Local,Jackson,"North River Community Environmental Review Board, Inc. (NRCERB)",133614524,*,"$7,500",dpr,,,"626 Riverside Drive 1St Floor Professional Suite, New York, 10031",,,,,,
Local,Quinn,North River Historic Ship Society,133819543,,"$3,000",DPR,,232 East 11th Street,,New York,,10003,"To host a historic ship rally on Hudson River Park pubic piers, offering free historic vessel tours, educational trips aboard historic vessels such as the retired NYC fireboat John J. Harvey and  the 105-year old tugboat Pegasus. ",,
Local,Rose,"North Shore Rescue Squad No. 1, Inc.",132886423,,"$4,000",FDNY,,PO Box 140702,,Staten Island,NY,10314-0702,"To provide pre hospital emergency care and transportation of the sick and injured, and provide medical coverage at community events. Funds will be used to maintian ambulances, and pay operational costs.",,
Local,Oddo,"North Shore Rescue Squad No. 1, Inc.",132886423,,"$3,000",FDNY,,PO Box 140702,,Staten Island,NY,10314-0702,"Funds will be used to support the volunteer rescue squad by making repairs to ambulances, purchasing medical supplies, operational and administrative costs.",,
Local,Oddo,North Shore Waterfront Conservancy of Staten Island Inc,550839630,,"$3,500",DYCD,,121 Heberton Avenue,,Staten Island,NY,10302-0502,"The funds will support the Shore Up Program, where the organization will partner with Environmental Justice communities and government agencies to remediate manufacturing properties that have a high level of contaminants from past uses, and an Environmental Justice Boat tour and land tour programs.",,
Aging,Vacca,Northeast Bronx Association Corporation,134131325,,"$12,500",DFTA,,2325 Vance Street,,Bronx,NY,10469-6017,"To provide funding for the Seniors Day Out Program including activities, events, transportation and food for the seniors.",,
Aging,Wills,"Northeastern Conference House Housing Development Fund Company, Inc.",112574893,*,"$10,000",DFTA,,131-10 Guy R Brewer Blvd,,Jamaica,NY,11434,"To provide social, educational, and recreational activities such as seasonal holiday parties, three day trips and two overnight along with transportation.  Also to support the Community Garden and a composter.",,
Aging,Eugene,"Northeastern Conference of Seventh Day Adventists Community Affairs, Inc.",020632575,,"$15,000",DFTA,,115-50 Merrick Blvd,,Jamaica,NY,11436,"To provide for a range of programs for seniors including computer training, arts and crafts, nutrition education, Tai Chi, Yoga and outdor activities.",,
Local,Jackson,Northern Manhattan Arts Alliance,261997496,,"$5,000",DCLA,,178 Bennett Avenue Third Floor,,New York,NY,10040,"Funds will support the Uptown Arts Stroll, an annual month-long showcase for arts, artist and cultural venues in upper Manhattan. ",,
Local,Jackson,Northern Manhattan Coalition for Immigration Rights,133255591,,"$8,000",DYCD,,665 West 182nd Street,Ground Floor,New York,NY,10033,Funds will support outreach and legal services for immigrants and referrals to other social services organizations. ,,
Local,Jackson,Northern Manhattan Improvement Corporation,132972415,,"$25,000",DYCD,,76 Wadsworth Avenue,,New York,NY,10033,Funds will support immigration services. ,,
Adult Literacy Services Initiative,,Northern Manhattan Improvement Corporation,132972415,,"$30,000",DYCD,,,,,,,,,
Anti Eviction,,Northern Manhattan Improvement Corporation,132972415,,"$80,409",HPD,,76 Wadsworth Avenue,,New York,NY,10033,Legal services and advocacy ,,
Housing Preservation Initiative,,Northern Manhattan Improvement Corporation,132972415,,"$50,000",HPD,,76 Wadsworth Avenue,,New York,NY,10033,This initiative allows neighborhood-based groups to design and implement a grassroots-based approach to the most critical threat to affordable housing in their individual community. ,,
Legal Services for the Working Poor,,Northern Manhattan Improvement Corporation ,132972415,,"$239,674",OCJC,,76 Wadsworth Avenue,,New York,NY,10033,The provision of legal services for indigent persons,,
Local,CC,Northern Manhattan Imrpovement Corporation,132972415,,"$75,000 ",DYCD,,76 Wadsworth Avenue,,New York,NY,10033,"Adult Education program provides Adult Basic Education (ABE)/Basic Education in Native Language (BENL) and English to Speakers of Other Languages (ESOL) classes. Classes target low English proficient speakers, low level computer users and those with low literacy in their native language. Classes are open to residents over the age of 18.  Funds are being requested from the Adult Literacy Services Initiative.",,
Local,Dickens,Northern Manhattan Perinatal Partnership,133782555,,"$10,000",DOHMH,,127 W 127th Street,3rd floor,New York,,10027,"To provide Doula care to expectant women, including childbirth education, labor, birth, and post partum support - and breastfeeding counseling and support.",,
Infant Mortality Reduction,,Northern Manhattan Perinatal Partnership,133782555,,"$20,757",DOHMH,,127 West 127th Street,,Manhattan,NY,10027,,,
Infant Mortality Reduction,,Northern Manhattan Perinatal Partnership,133782555,,"$138,474",DOHMH,,127 West 127th Street,,Manhattan,NY,10027,,,
Local,Van Bramer,Northern Woodside Coalition Inc.,113029912,,"$3,500",DCLA,,33-47 60TH STREET,,WOODSIDE,NY,11377,To support the summer concert series held each summer in Queens NYC parks and a Winter community/business promotion in the Woodside station/ 61st street area of NW Queens.,,
Local,Rose,"Northfield Community LDC of Staten Island, Inc.",132974137,,"$10,000",DSBS,,160 Heberton Avenue,,Staten Island,NY,10302-1403,"To assist businesses in the Port Richmond Ave and Commercial Corridor and surrounding community through promotional events, technical services, economic development projects and other programs. ",,
Local,Oddo,"Northfield Community LDC of Staten Island, Inc.",132974137,,"$3,500",DSBS,,160 Heberton Avenue,,Staten Island,NY,10302-1403,"Funds will be utilized to support the activities of Northfield LDCs Economic and Community Development Department, a multi-service unit providing assistance primarily to businesses on Port Richmond Avenue, Port Richmond's commercial corridor, as well as the surrounding community.",,
Community Consultant Contracts,,"Northfield Community LDC of Staten Island, Inc.",132974137,,"$15,860",HPD,,160 Heberton Avenue,,Staten Island,NY,10302-1403,The Community Consultant program allows neighborhood-based groups to provide the following services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.    ,,
Out of School Time Restoration,,"Northside Center for Child Development, Inc.",131656679,,"$110,000",DYCD,Northside Center for Child Development (EX),35 East 110th St,,New York,NY,10029,,,
Local,CC,"Northside Center for Child Development, Inc.",131656679,,"$115,000 ",DYCD,,Northside Center,1301 Fifth Avenue,New York,NY,10029,"To support Northside's After School and Summer Program, which serves approximately 65 different children in the course of one year.",,
Youth,Rivera,Northwest Bronx Community and Clergy Coalition for Sistas and Brothas United,132806160,,"$10,000",DYCD,,103 East 196th street,,Bronx,NY,10468,To support youth programs.  Funds will pay for academic and college support services for youth.,,
Local,Cabrera,Northwest Bronx Community and Clergy Coalition for Sistas and Brothas United,132806160,,"$5,000",HPD,,103 E 196th Street,,Bronx,NY,10468,To support the NWBCCC Housing Committee in organizing and educating tenants within the community about their housing rights through Tenants Rights Nights workshops and other outreach efforts.,,
Community Consultant Contracts,,Northwest Bronx Community and Clergy Coalition for Sistas and Brothas United,132806160,,"$25,000",HPD,,103 E 196th Street,,Bronx,NY,10468,The Community Consultant program allows neighborhood-based groups to provide the following services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.    ,,
Anti-Gun Violence Initiative,,Not Another Child,260894097,,"$35,000",DOHMH,,,,New York,NY,10010-5413,Therapeutic Services,,
Youth,Mealy,Not Just Hoops Inc.,900607202,,"$10,000",DYCD,,1057 Herkimer Street,,Brooklyn,NY,11233-3107,"To provide for the Not Just Hoops Program by funding commissioners/referee fees, basketball clinic exercise trainer fee, uniforms, equipment, program insurance, refreshments and trophies.",,
Youth,Mendez,"Notes in Motion, Inc.",320005633,,"$3,500",DYCD,,77 Bleecker Street 318,,New York,NY,10012,"To support an arts program at PS 63 M focused on dance, including planning sessions, full program evaluation, and a community sharing/performance event. Funds will be used for teaching artist salaries, program planning, curriculum development, program and to purchase props, music, and art supplies.",,
Local,Nelson,"Nottingham Association, Inc.",132807449,*,"$3,500",DYCD,,1545 East 22 Street,2624 Avenue N,Brooklyn,NY,11210-5229,"To fund and operate a neighborhood car patrol, 7 hours a day, 7 days a week at varying times between 9:00 am and 9:00 pm.  Costs will include salaries, and operation and maintenance of the patrol car.",,
Local,Reyna,"Nuestros Ninos Day Care Center, Inc.",112315327,*,"$5,000",DYCD,,384 South 4th Street,,Brooklyn New York City,NY,11211,Funds  will support Family Literacy services for the parents of children served which will train volunteers in providing literacy services to family members of children.,,
Local,Levin,NURTUREart Non-Profit Inc.,133964559,,"$2,000",DCLA,,56 Bogart St,,Brooklyn,NY,11206,"To support NURTUREart programs including Project Curate! at Juan Morel Campos Secondary School, Literacy Through Art at I.S. 136, Books for Trek, and Introduction to Art-Making at P.S. 147.",,
Local,Reyna,NURTUREart Non-Profit Inc.,133964559,,"$5,000",DCLA,,56 Bogart St,,Brooklyn,NY,11206,"Funds will support arts programs at four Brooklyn Public Schools: projects curate at Juan Morel Campus Secondary School; Literacy Through Art at IS 136; Books for Trek, Introduction to Art Making at PS 147.",,
Local,Wills,NUR-UL-ISLAM,030417877,*,"$8,000",DYCD,,149-21 116 TH STREET,,SOUTH OZONE PARK,NY,11420,To offset cost for running food progam for the needy.,,
Youth,Mendez,"Nuyorican Poets Café, Inc.",510139390,,"$5,000",DYCD,,236 East 3rd Street,,New York,NY,10009,"Funding to support daytime and afterschool literacy and performance programs.  Students from all over the city visit the Cafe for literacy/performance workshops, and our teaching artists visit dozens of schools.",,
Local,Van Bramer,Nvkanchik Sapi Ayazamna Inc.,270521135,*,"$3,500",DYCD,,,,,,,"Rehearsal space rental, wardrobe maintenance, performances",,
